Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
744,160,540,5,5,140,False,False
1568,460,20,-5,5,0,False,False
295,505,545,-5,-5,430,True,False
202,610,150,5,5,550,True,False
771,295,485,5,-5,300,False,True
1254,450,390,-5,-5,210,True,False
2201,455,295,-5,-5,180,False,False
2767,785,85,-5,5,320,False,True
3186,270,200,-5,-5,60,False,False
399,15,25,5,-5,90,False,False
2338,230,390,5,5,280,False,False
589,615,235,-5,-5,400,True,False
1135,535,175,5,5,560,True,False
2372,400,560,5,5,350,False,True
2483,625,45,-5,-5,360,False,False
1237,535,475,-5,-5,380,True,False
2095,595,335,5,5,660,False,True
281,575,545,-5,5,500,False,False
963,325,475,-5,5,210,False,False
1219,625,565,-5,-5,560,True,False
1269,375,315,-5,-5,60,True,False
1710,250,430,5,-5,280,False,False
2719,555,155,5,-5,180,False,False
2202,450,290,-5,-5,180,False,False
3213,135,65,-5,-5,60,False,False
1558,510,30,-5,-5,0,False,False
3082,790,500,-5,5,530,False,False
56,120,580,-5,-5,70,True,False
1330,70,10,-5,-5,440,False,True
209,645,185,5,5,480,True,False
604,540,160,-5,-5,250,True,False
2071,475,215,5,5,420,False,True
687,125,255,-5,5,140,False,False
1102,370,10,5,5,570,False,True
2375,415,575,5,5,380,False,True
1041,65,295,5,-5,0,False,False
3179,305,235,-5,-5,80,True,False
755,215,565,5,-5,140,False,True
606,530,150,-5,-5,230,True,False
2352,300,460,5,5,280,False,False
1249,475,415,-5,-5,260,True,False
2512,480,100,-5,5,250,True,False
530,670,530,5,-5,640,False,True
3034,550,260,5,5,350,False,False
2052,380,120,5,5,280,False,False
3228,60,10,-5,5,60,False,False
2877,235,525,-5,-5,170,True,False
2715,535,175,5,-5,180,False,False
1732,360,320,5,-5,280,False,False
757,225,555,5,-5,160,False,True
1392,240,300,5,5,220,False,True
3044,600,310,5,5,440,False,True
1253,455,395,-5,-5,220,True,False
1321,115,55,-5,-5,350,False,True
576,680,300,-5,-5,530,True,False
848,680,100,5,-5,480,False,False
570,710,330,-5,-5,590,True,False
1315,145,85,-5,-5,290,False,True
2379,435,565,5,-5,420,False,True
1306,190,130,-5,-5,200,False,True
472,380,340,5,5,520,False,False
310,430,470,-5,-5,280,True,False
3163,385,315,-5,-5,240,True,False
573,695,315,-5,-5,560,True,False
2772,760,110,-5,5,370,False,True
1102,370,10,5,5,570,False,True
709,15,365,-5,5,140,False,False
420,120,80,5,5,110,False,True
1016,60,420,-5,-5,0,False,False
861,745,35,5,-5,480,False,False
1280,320,260,-5,-5,0,True,False
812,500,280,5,-5,480,False,False
247,745,375,-5,5,500,False,False
1067,195,165,5,-5,220,False,True
571,705,325,-5,-5,580,True,False
1543,585,105,-5,-5,90,True,False
1316,140,80,-5,-5,300,False,True
1553,535,55,-5,-5,0,True,False
969,295,505,-5,5,210,False,False
1390,230,290,5,5,200,False,True
610,510,130,-5,-5,190,True,False
2666,290,420,5,-5,180,False,False
2056,400,140,5,5,280,False,False
779,335,445,5,-5,380,False,True
1208,680,540,-5,5,610,False,False
2919,25,315,-5,-5,30,False,False
2458,750,170,-5,-5,550,True,False
2186,530,370,-5,-5,320,True,False
2758,750,40,5,5,230,False,True
1121,465,105,5,5,590,False,False
1289,275,215,-5,-5,30,False,True
1527,665,185,-5,-5,250,True,False
3138,510,440,-5,-5,490,True,False
995,165,525,-5,-5,50,True,False
576,680,300,-5,-5,530,True,False
1459,575,525,5,-5,620,False,True
420,120,80,5,5,110,False,True
453,285,245,5,5,440,False,True
3145,475,405,-5,-5,420,True,False
426,150,110,5,5,170,False,True
433,185,145,5,5,240,False,True
1806,730,50,5,5,280,False,False
764,260,520,5,-5,230,False,True
1271,365,305,-5,-5,40,True,False
115,175,285,5,-5,190,False,True
2396,520,480,5,-5,590,False,True
1496,760,340,5,-5,560,True,False
326,350,390,-5,-5,120,True,False
1948,140,400,-5,-5,280,False,False
2193,495,335,-5,-5,250,True,False
2764,780,70,5,5,290,False,True
580,660,280,-5,-5,490,True,False
1327,85,25,-5,-5,410,False,True
2623,75,585,5,-5,20,False,True
1581,395,85,-5,5,0,False,False
80,0,460,5,-5,80,False,True
2084,540,280,5,5,550,False,True
1132,520,160,5,5,590,True,False
1510,750,270,-5,-5,420,True,False
148,340,120,5,-5,520,False,True
436,200,160,5,5,270,False,True
557,775,395,-5,-5,670,False,False
301,475,515,-5,-5,370,True,False
2188,520,360,-5,-5,300,True,False
1493,745,355,5,-5,590,True,False
1063,175,185,5,-5,180,False,True
441,225,185,5,5,320,False,True
1255,445,385,-5,-5,200,True,False
2131,775,515,5,5,700,False,False
1509,755,275,-5,-5,430,True,False
757,225,555,5,-5,160,False,True
1678,90,570,5,5,0,False,True
593,595,215,-5,-5,360,True,False
2747,695,15,5,-5,180,False,False
768,280,500,5,-5,270,False,True
109,145,315,5,-5,130,False,True
2873,255,545,-5,-5,210,True,False
2048,360,100,5,5,280,False,False
2794,650,220,-5,5,380,True,False
142,310,150,5,-5,460,False,True
1855,605,295,-5,5,280,False,False
966,310,490,-5,5,210,False,False
1344,0,60,5,5,490,True,False
1901,375,525,-5,5,280,False,False
566,730,350,-5,-5,630,True,False
2841,415,455,-5,5,230,False,False
783,355,425,5,-5,420,False,True
2889,175,465,-5,-5,50,True,False
818,530,250,5,-5,480,False,False
1467,615,485,5,-5,670,False,False
2874,250,540,-5,-5,200,True,False
1070,210,150,5,-5,250,False,True
1499,775,325,5,-5,530,True,False
3107,665,595,-5,-5,660,False,True
2555,265,315,-5,5,70,False,False
39,205,495,-5,5,110,True,False
2080,520,260,5,5,510,False,True
2372,400,560,5,5,350,False,True
1406,310,370,5,5,360,False,True
2430,690,310,5,-5,610,False,False
1619,205,275,-5,5,0,False,False
2479,645,65,-5,-5,360,False,False
1531,645,165,-5,-5,210,True,False
600,560,180,-5,-5,290,True,False
773,305,475,5,-5,320,False,True
739,135,515,5,5,140,False,False
2265,135,25,-5,5,40,False,False
2454,770,190,-5,-5,590,True,False
2635,135,575,5,-5,140,False,True
2876,240,530,-5,-5,180,True,False
2191,505,345,-5,-5,270,True,False
872,780,20,-5,5,480,False,False
237,785,325,5,5,480,False,True
1220,620,560,-5,-5,550,True,False
203,615,155,5,5,540,True,False
2858,330,540,-5,5,230,False,False
2157,675,515,-5,-5,610,True,False
575,685,305,-5,-5,540,True,False
2883,205,495,-5,-5,110,True,False
939,445,355,-5,5,210,False,False
588,620,240,-5,-5,410,True,False
823,555,225,5,-5,480,False,False
1407,315,375,5,5,370,False,True
1837,695,205,-5,5,280,False,False
1703,215,465,5,-5,250,False,True
2152,700,540,-5,-5,660,True,False
1685,125,555,5,-5,70,False,True
681,155,225,-5,5,140,False,False
316,400,440,-5,-5,220,True,False
591,605,225,-5,-5,380,True,False
582,650,270,-5,-5,470,True,False
295,505,545,-5,-5,430,True,False
1530,650,170,-5,-5,220,True,False
2664,280,430,5,-5,180,False,False
2459,745,165,-5,-5,540,True,False
504,540,500,5,5,520,False,False
2684,380,330,5,-5,180,False,False
2675,335,375,5,-5,180,False,False
2521,435,145,-5,5,160,True,False
2423,655,345,5,-5,610,False,False
448,260,220,5,5,390,False,True
2054,390,130,5,5,280,False,False
658,270,110,-5,5,140,False,False
3187,265,195,-5,-5,60,False,False
1268,380,320,-5,-5,70,True,False
2215,385,225,-5,-5,150,True,False
435,195,155,5,5,260,False,True
1487,715,385,5,-5,650,True,False
37,215,485,-5,5,130,True,False
2430,690,310,5,-5,610,False,False
2173,595,435,-5,-5,450,True,False
3203,185,115,-5,-5,60,False,False
567,725,345,-5,-5,620,True,False
1310,170,110,-5,-5,240,False,True
2940,80,210,5,-5,230,False,True
2670,310,400,5,-5,180,False,False
26,270,430,-5,5,240,True,False
2768,780,90,-5,5,330,False,True
3040,580,290,5,5,400,False,True
572,700,320,-5,-5,570,True,False
1280,320,260,-5,-5,0,True,False
454,290,250,5,5,450,False,True
1814,770,90,5,5,280,False,False
924,520,280,-5,5,220,True,False
54,130,570,-5,5,90,True,False
1045,85,275,5,-5,0,False,True
170,450,10,5,-5,590,False,False
1444,500,560,5,5,470,False,True
2566,210,370,-5,5,70,False,False
22,290,410,-5,5,280,True,False
2318,130,290,5,5,220,False,True
3158,410,340,-5,-5,290,True,False
453,285,245,5,5,440,False,True
1133,525,165,5,5,580,True,False
1263,405,345,-5,-5,120,True,False
569,715,335,-5,-5,600,True,False
2174,590,430,-5,-5,440,True,False
1475,655,445,5,-5,670,False,False
1406,310,370,5,5,360,False,True
2378,430,570,5,-5,410,False,True
2629,105,585,5,-5,80,False,True
994,170,530,-5,-5,60,True,False
3102,690,590,-5,5,610,False,True
1686,130,550,5,-5,80,False,True
435,195,155,5,5,260,False,True
1898,390,510,-5,5,280,False,False
2513,475,105,-5,5,240,True,False
2550,290,290,-5,5,70,False,False
1911,325,575,-5,5,280,False,False
2622,70,580,5,5,10,False,True
2940,80,210,5,-5,230,False,True
2623,75,585,5,-5,20,False,True
1181,765,405,5,5,460,False,False
203,615,155,5,5,540,True,False
61,95,555,-5,-5,20,True,False
2944,100,190,5,-5,270,False,True
1721,305,375,5,-5,280,False,False
300,480,520,-5,-5,380,True,False
526,650,550,5,-5,600,False,True
3092,740,550,-5,5,530,False,False
106,130,330,5,-5,100,False,True
2858,330,540,-5,5,230,False,False
570,710,330,-5,-5,590,True,False
661,255,125,-5,5,140,False,False
1191,765,455,-5,5,540,False,True
517,605,565,5,5,520,False,False
1194,750,470,-5,5,570,False,True
154,370,90,5,-5,580,False,True
1634,130,350,-5,5,0,False,False
777,325,455,5,-5,360,False,True
1822,770,130,-5,5,280,False,False
1674,70,550,5,5,0,False,False
3040,580,290,5,5,400,False,True
1133,525,165,5,5,580,True,False
2892,160,450,-5,-5,30,False,False
3171,345,275,-5,-5,160,True,False
1353,45,105,5,5,400,True,False
2808,580,290,-5,5,240,True,False
2522,430,150,-5,5,150,True,False
1495,755,345,5,-5,570,True,False
1586,370,110,-5,5,0,False,False
568,720,340,-5,-5,610,True,False
2085,545,285,5,5,560,False,True
784,360,420,5,-5,430,False,True
1687,135,545,5,-5,90,False,True
2644,180,530,5,-5,180,False,False
1610,250,230,-5,5,0,False,False
658,270,110,-5,5,140,False,False
1509,755,275,-5,-5,430,True,False
3206,170,100,-5,-5,60,False,False
524,640,560,5,-5,580,False,True
1086,290,70,5,-5,410,False,True
1825,755,145,-5,5,280,False,False
1705,225,455,5,-5,270,False,True
3082,790,500,-5,5,530,False,False
655,285,95,-5,5,140,False,False
2765,785,75,5,5,300,False,True
2586,110,470,-5,5,40,True,False
3188,260,190,-5,-5,60,False,False
3138,510,440,-5,-5,490,True,False
2237,275,115,-5,-5,40,False,False
1190,770,450,-5,5,530,False,True
1286,290,230,-5,-5,0,False,True
765,265,515,5,-5,240,False,True
213,665,205,5,5,440,True,False
1267,385,325,-5,-5,80,True,False
3097,715,575,-5,5,560,False,True
2423,655,345,5,-5,610,False,False
2872,260,550,-5,-5,220,True,False
429,165,125,5,5,200,False,True
1366,110,170,5,5,270,True,False
2085,545,285,5,5,560,False,True
1013,75,435,-5,-5,0,False,False
1955,105,365,-5,-5,280,False,False
2591,85,495,-5,5,20,False,False
723,55,435,5,5,140,False,False
2664,280,430,5,-5,180,False,False
1336,40,20,-5,5,490,False,False
756,220,560,5,-5,150,False,True
117,185,275,5,-5,210,False,True
849,685,95,5,-5,480,False,False
2088,560,300,5,5,590,False,True
2476,660,80,-5,-5,370,True,False
2797,635,235,-5,5,350,True,False
931,485,315,-5,5,210,False,False
2586,110,470,-5,5,40,True,False
912,580,220,-5,5,340,True,False
2609,5,585,5,-5,0,False,False
1878,490,410,-5,5,280,False,False
1057,145,215,5,-5,120,False,True
2346,270,430,5,5,280,False,False
760,240,540,5,-5,190,False,True
579,665,285,-5,-5,500,True,False
2183,545,385,-5,-5,350,True,False
204,620,160,5,5,530,True,False
1019,45,405,-5,-5,0,False,False
1070,210,150,5,-5,250,False,True
79,5,465,-5,-5,70,False,True
1849,635,265,-5,5,280,False,False
124,220,240,5,-5,280,False,True
1296,240,180,-5,-5,100,False,True
2167,625,465,-5,-5,510,True,False
2623,75,585,5,-5,20,False,True
2991,335,45,5,5,350,False,False
1389,225,285,5,5,190,False,True
2300,40,200,5,5,40,False,True
25,275,425,-5,5,250,True,False
1193,755,465,-5,5,560,False,True
2972,240,50,5,-5,350,False,False
2203,445,285,-5,-5,180,False,False
1518,710,230,-5,-5,340,True,False
570,710,330,-5,-5,590,True,False
135,275,185,5,-5,390,False,True
2796,640,230,-5,5,360,True,False
144,320,140,5,-5,480,False,True
27,265,435,-5,5,230,True,False
2158,670,510,-5,-5,600,True,False
1448,520,580,5,-5,510,False,True
760,240,540,5,-5,190,False,True
1680,100,580,5,-5,20,False,True
573,695,315,-5,-5,560,True,False
525,645,555,5,-5,590,False,True
450,270,230,5,5,410,False,True
2774,750,120,-5,5,390,False,True
1496,760,340,5,-5,560,True,False
441,225,185,5,5,320,False,True
758,230,550,5,-5,170,False,True
3153,435,365,-5,-5,340,True,False
1087,295,65,5,-5,420,False,True
2544,320,260,-5,5,70,False,False
2456,760,180,-5,-5,570,True,False
1697,185,495,5,-5,190,False,True
2362,350,510,5,5,310,False,True
1026,10,370,-5,-5,0,False,False
113,165,295,5,-5,170,False,True
22,290,410,-5,5,280,True,False
2069,465,205,5,5,400,False,True
3037,565,275,5,5,370,False,True
2764,780,70,5,5,290,False,True
469,365,325,5,5,520,False,False
2924,0,290,5,-5,70,False,True
3144,480,410,-5,-5,430,True,False
2331,195,355,5,5,280,False,False
2097,605,345,5,5,680,False,True
1001,135,495,-5,-5,0,True,False
34,230,470,-5,5,160,True,False
134,270,190,5,-5,380,False,True
3123,585,515,-5,-5,640,True,False
2941,85,205,5,-5,240,False,True
1514,730,250,-5,-5,380,True,False
1139,555,195,5,5,520,True,False
1712,260,420,5,-5,280,False,False
1350,30,90,5,5,430,True,False
1405,305,365,5,5,350,False,True
128,240,220,5,-5,320,False,True
2464,720,140,-5,-5,490,True,False
310,430,470,-5,-5,280,True,False
2096,600,340,5,5,670,False,True
1502,790,310,-5,-5,500,True,False
2070,470,210,5,5,410,False,True
2713,525,185,5,-5,180,False,False
128,240,220,5,-5,320,False,True
2975,255,35,5,-5,350,False,False
2566,210,370,-5,5,70,False,False
1002,130,490,-5,-5,0,True,False
135,275,185,5,-5,390,False,True
2800,620,250,-5,5,320,True,False
1367,115,175,5,5,260,True,False
3070,730,440,5,5,530,False,False
3151,445,375,-5,-5,360,True,False
3003,395,105,5,5,350,False,False
3208,160,90,-5,-5,60,False,False
882,730,70,-5,5,480,False,False
2649,205,505,5,-5,180,False,False
1068,200,160,5,-5,230,False,True
2251,205,45,-5,-5,40,False,False
1257,435,375,-5,-5,180,True,False
1322,110,50,-5,-5,360,False,True
2452,780,200,-5,-5,610,True,False
1277,335,275,-5,-5,0,True,False
2382,450,550,5,-5,450,False,True
302,470,510,-5,-5,360,True,False
2707,495,215,5,-5,180,False,False
1455,555,545,5,-5,580,False,True
514,590,550,5,5,520,False,False
2818,530,340,-5,5,230,False,False
1878,490,410,-5,5,280,False,False
2909,75,365,-5,-5,30,False,False
2458,750,170,-5,-5,550,True,False
2802,610,260,-5,5,300,True,False
53,135,565,-5,5,90,False,False
1613,235,245,-5,5,0,False,False
649,315,65,-5,5,140,False,False
1367,115,175,5,5,260,True,False
1608,260,220,-5,5,0,False,False
1545,575,95,-5,-5,70,True,False
1544,580,100,-5,-5,80,True,False
199,595,135,5,5,580,True,False
2958,170,120,5,-5,350,False,False
2038,310,50,5,5,280,False,False
1994,90,170,5,-5,280,False,False
2869,275,565,-5,-5,230,False,False
2080,520,260,5,5,510,False,True
1911,325,575,-5,5,280,False,False
1502,790,310,-5,-5,500,True,False
419,115,75,5,5,100,False,True
94,70,390,5,-5,90,False,False
1388,220,280,5,5,180,False,True
582,650,270,-5,-5,470,True,False
1280,320,260,-5,-5,0,True,False
1904,360,540,-5,5,280,False,False
2267,125,35,-5,5,40,False,False
2879,225,515,-5,-5,150,True,False
823,555,225,5,-5,480,False,False
2874,250,540,-5,-5,200,True,False
913,575,225,-5,5,330,True,False
2090,570,310,5,5,610,False,True
738,130,510,5,5,140,False,False
328,340,380,-5,-5,100,True,False
362,170,210,-5,-5,90,False,False
1358,70,130,5,5,350,True,False
1744,420,260,5,-5,280,False,False
2528,400,180,-5,5,90,True,False
2937,65,225,5,-5,200,False,True
975,265,535,-5,5,210,False,False
1698,190,490,5,-5,200,False,True
1996,100,160,5,-5,280,False,False
123,215,245,5,-5,270,False,True
1412,340,400,5,5,420,False,True
912,580,220,-5,5,340,True,False
