Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
2956,620,150,-5,-5,210,True,False
616,320,100,5,-5,460,False,True
618,330,90,5,-5,480,False,True
1084,500,80,-5,-5,570,True,False
971,515,515,5,5,440,False,True
3934,470,100,-5,5,450,True,False
1557,285,35,5,-5,280,False,True
1558,290,30,5,-5,290,False,True
1106,390,30,-5,5,350,True,False
1914,490,570,5,-5,470,False,True
3633,395,245,-5,-5,80,True,False
2929,755,285,-5,-5,480,True,False
3479,415,145,5,5,390,False,True
3946,410,160,-5,5,330,True,False
3608,520,370,-5,-5,330,True,False
2925,775,305,-5,-5,520,True,False
3505,545,275,5,5,650,False,True
4188,780,320,-5,-5,470,True,False
98,690,370,-5,-5,380,True,False
1697,595,495,-5,-5,480,True,False
3607,525,375,-5,-5,340,True,False
418,670,70,-5,5,480,True,False
3825,565,445,5,-5,460,False,True
1557,285,35,5,-5,280,False,True
80,780,460,-5,-5,560,True,False
2642,610,560,-5,-5,490,True,False
350,570,270,5,-5,540,False,True
1714,510,410,-5,-5,310,True,False
1609,545,225,5,5,580,False,True
3970,290,280,-5,5,90,True,False
4114,430,580,5,5,410,False,True
1706,550,450,-5,-5,390,True,False
3931,485,85,-5,5,480,True,False
283,235,555,5,5,180,False,True
2154,110,530,5,-5,100,False,True
3455,295,25,5,5,150,False,True
4101,365,585,5,-5,280,False,True
354,590,250,5,-5,580,False,True
3473,385,115,5,5,330,False,True
4081,265,585,5,-5,180,False,True
3120,200,490,5,-5,220,False,True
3608,520,370,-5,-5,330,True,False
1548,240,80,5,-5,190,False,True
607,275,145,5,-5,370,False,True
3787,375,525,5,5,320,False,True
770,490,490,-5,-5,420,True,False
1609,545,225,5,5,580,False,True
1086,490,70,-5,-5,550,True,False
1575,375,55,5,5,460,False,True
2511,315,95,5,5,300,False,True
2921,785,325,5,-5,560,True,False
622,350,70,5,-5,520,False,True
3616,480,330,-5,-5,250,True,False
2945,675,205,-5,-5,320,True,False
4103,375,585,5,-5,300,False,True
4102,370,580,5,5,290,False,True
1111,365,55,-5,5,300,True,False
592,200,220,5,-5,220,False,True
3970,290,280,-5,5,90,True,False
3924,520,50,-5,5,550,True,False
1244,300,440,5,-5,380,False,True
3776,320,470,5,5,210,False,True
346,550,290,5,-5,500,False,True
1689,635,535,-5,-5,560,True,False
1799,85,15,-5,5,200,True,False
790,390,390,-5,-5,220,True,False
3921,535,35,-5,5,580,True,False
3628,420,270,-5,-5,130,True,False
1860,220,320,5,5,290,False,True
3959,345,225,-5,5,200,True,False
398,770,30,-5,-5,680,True,False
2686,390,340,-5,-5,420,True,False
4108,400,580,5,5,350,False,True
2051,405,115,-5,5,180,True,False
1221,185,555,5,-5,150,False,True
255,95,415,5,5,80,False,True
3964,320,250,-5,5,150,True,False
1253,345,395,5,-5,470,False,True
424,640,100,-5,5,420,True,False
919,255,255,5,5,220,False,True
2684,400,350,-5,-5,440,True,False
3584,640,490,-5,-5,570,True,False
1799,85,15,-5,5,200,True,False
2158,130,510,5,-5,140,False,True
3492,480,210,5,5,520,False,True
3307,445,445,-5,5,410,True,False
768,500,500,-5,-5,440,True,False
29,545,445,5,5,460,False,True
2178,230,410,5,-5,340,False,True
1106,390,30,-5,5,350,True,False
3637,375,225,-5,-5,40,True,False
